10 Cloverfield Lane,0.06496065662994098,#79a296,#42716c,#757667,#67431c,#dcc781,#393f38,#342311,#9c774a,#5a8b83,#e1efc6,#935c0f,#1e575a,#103940,#51574d,#4d3015,#96c3b2,#188799,#7b5d35,#b09671,#e4b21a
2001 - A Space Odyssey,0.09051442305984506,#829381,#4a3930,#e0d9ba,#8d0317,#c7a892,#344a4a,#af320f,#5e5349,#9cac96,#ac9260,#b8c4aa,#5a0d1d,#a86a76,#148c82,#6e766a,#d6890f,#856444,#094648,#952e4b,#486663
300,0.16527131379475485,#c8b06f,#655031,#f0f0db,#9a7843,#392f20,#dcd2a2,#638078,#781114,#796a4a,#afa47b,#835f31,#fbfbf5,#4e3e28,#e5e2be,#46605e,#2e4444,#968761,#b39458,#afc7b0,#cbbf8d
A Dog's Journey,0.12996605309960987,#7f9590,#57472d,#bdad8c,#8a6f2a,#5c564d,#c7bda6,#3f3826,#6c6c64,#44443e,#7d694c,#a4977a,#a2b0a5,#245160,#523216,#6c5936,#9a804c,#705116,#b7c1bc,#35291a,#dbd3be
A Quiet Place,0.06168011669715153,#85968b,#5d6250,#4a3e1e,#cecba4,#67542a,#9e8b5d,#417e88,#305757,#e8f4d1,#124142,#950204,#4c4d39,#747866,#a7c3b8,#826e40,#333c31,#3d1d0b,#b6aa81
A Star Is Born,0.10282867473891028,#7f7669,#cedec8,#454845,#400605,#8c988f,#107570,#931415,#704c3e,#14af9a,#56625e,#4f2c23,#0a4a4d,#2d3332,#b93b36,#ebf5da,#598789,#670908,#c08c66,#afbbac,#79bfb9
About Time,0.19243893986255028,#283f47,#ded5c2,#6a5c50,#4b2e1a,#a59d93,#97785f,#cbc1b3,#704e38,#352415,#4c6673,#f1f7e2,#8b8881,#40362d,#ae9273,#866349,#4f4944,#bbafa2,#797269,#5b3f2b,#e5decc
Ad Astra,0.10326530606679887,#769495,#54605a,#b8c9bc,#383a33,#780f03,#ae7e5b,#838170,#9ab1ab,#544b3d,#471304,#1c3b47,#627a79,#3b6c77,#746754,#354e53,#dde1c6,#cab995,#9d9c88,#9c4e1e
Alien - Covenant,0.07567920305541664,#90a59d,#48483b,#e6f3df,#657c7c,#455b5d,#13a5aa,#a3b7af,#1e2f33,#79908e,#dac98e,#760514,#2a3c3f,#536b6d,#364b4e,#a3885a,#636251,#c1d2c7,#114a57
Annabelle,0.060383948223698525,#58493a,#ddd9ba,#6e7572,#c8b38d,#2d373d,#f1f4f0,#485675,#645c50,#3b2b1e,#99907c,#758fa4,#3f392f,#434a48,#cc944e,#857259,#aeb3b0,#7e5132,#0e0f36,#533523
Annihilation,0.09772203201201934,#444336,#b3b3b4,#977a5a,#e5e9e5,#83817e,#7c5c40,#442e1e,#a3988c,#32454f,#122738,#d9b471,#c88722,#6b6c61,#46636f,#627d8c,#859dad,#61442e,#cdd0cf,#56574b
Argo,0.1650375189921237,#755e30,#333728,#c4cab7,#9e9c8d,#445a63,#d6e0cc,#868374,#604718,#b7b49f,#edf8ea,#2b4149,#587684,#b29667,#484736,#575749,#7c9498,#463613,#927947,#d7ba37,#9ab3b1
Avatar,0.09873804970994815,#9c896a,#132a4a,#f5f8fa,#505e60,#a9bbc9,#2c56b7,#cfdae0,#314c5d,#90a2a7,#434c48,#76898e,#1a3c7e,#2e3c3e,#457287,#b151be,#687370,#443827,#cdbc99,#725b40,#5092db
Baby Driver,0.1050465229030792,#736869,#d6ac93,#524039,#c12249,#ebe2da,#32373c,#154875,#4b2b1e,#83848c,#4b555b,#733b28,#ada3aa,#dec8b9,#8e5d4f,#9e8721,#71070f,#b6907f,#9b776c,#ca3659,#6b514b
Baywatch,0.22239300940996265,#939696,#3a3b37,#d1d5d7,#a8081a,#55554d,#103f5d,#e9c427,#4697ab,#aaabac,#ab7d63,#794b31,#102538,#c99d7f,#ca632b,#573522,#ece9e8,#656c6d,#b0c2cd,#7b0513,#88684d
Birdman,0.09047210488401985,#6b4131,#beb5a9,#3b2f20,#725d4b,#e8e5e0,#0d3f5f,#4c3f30,#8aa3b3,#c1cfd2,#24849e,#7a8084,#34383b,#08213c,#544f47,#7d5a0e,#877460,#a78f7f,#0f6481,#523608,#616566
Black Swan,0.06699115049674687,#ded8c9,#7c7779,#4c4343,#553529,#ac9a98,#3c3534,#6a6466,#765246,#896256,#95776f,#2a444c,#bfb3b0,#834424,#622b17,#d6dafc,#684234,#595254,#978889,#44261c
Cabin in the Woods,0.06699552004515585,#eaf4f7,#5b7e95,#675d54,#8ca2aa,#393e3e,#960923,#be3954,#4a6173,#c9d5db,#81898a,#550913,#1e2d39,#342f2b,#494f52,#b5beb5,#6d7173,#25455e,#584137,#ada18b,#90795c
Casino Royale,0.09214124219986837,#747778,#90b4e5,#406379,#4c4d45,#c7cd75,#5882ae,#e5eeef,#aea9a7,#2b455a,#53190f,#918e8d,#5f6059,#c5c5c9,#819dbe,#383d36,#806b55,#192b3b,#523c29,#734d39,#a77d63
Crawl,0.11493085107150611,#8ba09e,#596c67,#cfdada,#4d4338,#897964,#377345,#2e332d,#e5c19a,#7c8f8a,#324440,#c82f54,#9acc54,#bb9380,#465654,#687e79,#685e4c,#b7c5c5,#e8f2f0,#3d0f13,#a1b1af
Crazy Rich Asians,0.11781885360399802,#6a787f,#c3beba,#383d3a,#553c33,#6e4f42,#4f0420,#2072ad,#a3a9ac,#937c70,#0d7156,#f0efec,#7e0535,#3a2b25,#4f5452,#0e406e,#d9d5cf,#74655d,#10b081,#9c6447,#949190
Creed,0.10598468864630199,#403c3c,#d0d3d0,#7d7977,#afaead,#5d5a5b,#6c5345,#432f26,#9f9c99,#806859,#6b6a6b,#8a8a8c,#c0c1be,#6b102a,#584034,#eaf5e7,#0d1b34,#4e4b4c,#244a76,#9d8273
Dolittle,0.1200759100720541,#8a9597,#655d4e,#e0dcd9,#50361d,#b1a94f,#89993d,#c5cacc,#375d60,#343527,#183e3f,#8b6b45,#d0bfa7,#6d7f2a,#6d7472,#b4a086,#342615,#4a5d1f,#6f4f2b,#968268,#a7b2b8
Dora and the Lost City of Gold,0.1131034841592822,#3e3b2e,#f7fdf0,#849892,#536769,#7a654f,#35494d,#ce7d1e,#654130,#565644,#9cb8b3,#183239,#d4e5cc,#462216,#727e76,#deb864,#0f626a,#9b8166,#c2c7ae,#a1561b,#aca289
Downsizing,0.1950879573556586,#8c6950,#dfe2d4,#494945,#a9a59a,#bab6ab,#8b8175,#64848c,#6a503d,#635d55,#cacdc1,#f4f6ed,#3f2617,#0b3048,#543a29,#b68869,#425e69,#84b9be,#93948d,#82381c,#737069
Dune,0.10988416893876161,#343636,#a59581,#5d6368,#8f592a,#d7d0c3,#f6d273,#482c1c,#8e7d6c,#4f4136,#7b6959,#f7f2e3,#ddad5a,#464c4e,#c4bbac,#675344,#b48041,#9ca6ac,#7a8792,#c2ad8f,#6d3b15
Edge of Tomorrow,0.11140210960921768,#343d40,#c8bcb6,#747978,#e1bc91,#51595b,#989e9b,#b2ada8,#3a312b,#e1cdc1,#50463e,#8a8a86,#196169,#646868,#92330e,#8c705e,#0e3946,#b89270,#3f4b4f,#6b594a,#253133
Elysium,0.13162166838898112,#9c8265,#e0e0da,#474641,#baa487,#535f65,#d1d1c8,#343532,#105075,#7f5331,#81a2b3,#746b5e,#f1f4f2,#969289,#aaada5,#4a7995,#7d7d78,#aac2d1,#5d5549,#513723,#c6bfb0
Ex Machina,0.05528142296161487,#666f7c,#f9f8f9,#543d2b,#9fa2a6,#490201,#5c5242,#404854,#c64113,#9e9183,#2c3136,#535b67,#404038,#706552,#7f8690,#3a2e22,#d7d5d4,#700b03,#847869,#b7b9be
Fences,0.08489365545075557,#9b8c73,#3b271b,#645849,#c5bfaf,#767369,#533123,#a09988,#3e413b,#534d41,#888377,#726756,#b4a994,#3d342a,#89785f,#674634,#7f5d45,#565f5c,#e7dbcd,#4e4032
Game Night,0.05933631094075082,#625b47,#e3f2f2,#3b251a,#a5aeaf,#8a918f,#686f6b,#4d4a3c,#333228,#4b3927,#8d7f65,#c7d0ca,#684931,#3b0b5b,#2a6b74,#3f97a5,#7e674a,#264247,#bca677
Gemini Man,0.08116884093604637,#a79583,#43484d,#815131,#eceeed,#c1ad98,#576169,#625348,#c5cad7,#b7733e,#e5caae,#da9a73,#7c685b,#363839,#533e2f,#937e6f,#3e291d,#1d566f,#9bacb5,#72838f
Get Out,0.12056267536913864,#b39e87,#68645d,#e9e4df,#3e3e3f,#7b7976,#584135,#9fd1ec,#cecdd2,#928f8b,#53514e,#6c8cb3,#836c58,#1e3459,#9b836c,#c7bdb2,#49617f,#43322a,#705643,#a9a8aa
Ghost In The Shell,0.05806434290944042,#5a7a99,#2c3135,#e1e0e4,#b3c0ce,#174d69,#9b5c4c,#3a454b,#a1a6a9,#74131d,#34627e,#6b6f72,#0e374d,#54585b,#209ab9,#898b8d,#092639,#583c2f,#779ec7,#cfc2ac,#371b15
Glass,0.04459887568421077,#655051,#a09896,#e6dad2,#68696e,#34383e,#c5b5a8,#684322,#13736c,#4f555e,#202a34,#3d2e2c,#3e4650,#87675d,#837f81,#1f3545,#4f3f3e,#472810
Godzilla - King of the Monsters,0.05424081394511486,#108585,#8d5e31,#d2c6a6,#275257,#74a897,#084852,#55584d,#263838,#847c64,#52857b,#49351f,#0b6368,#13b3bb,#bca378,#b6843d,#053640,#6c4523,#336c6c,#4d1306
Green Book,0.10182331916994068,#392518,#a59a9e,#454440,#d8cace,#074966,#5d554d,#7f7877,#052e4d,#f6f1f5,#775b3f,#4d3625,#73665b,#8e7459,#34322d,#b9b0b9,#c7ac94,#604832,#a18b76,#8c8890,#566374
Hacksaw Ridge,0.11771072835469315,#655436,#bca06f,#46351f,#a9a994,#a08a5e,#e2dfc5,#3e3f33,#6d6e5e,#804a0f,#c4d5c4,#81806d,#d8c886,#95947f,#766443,#55452a,#332616,#5b5d4f,#8a774c,#4c4e41,#b97f1d
Hansel & Gretel - Witch Hunters,0.07460832366899807,#a59d90,#582e0f,#d9d4c8,#485e5d,#b3721c,#5b0508,#391d0d,#c6c0b4,#706e66,#254446,#916948,#8d8579,#474338,#f9f8f7,#b5aea2,#ca9b5a,#7e4714,#645445
Home Alone,0.08986404876019505,#968fa2,#605561,#361116,#c1b8d0,#5064c5,#6f6779,#41477f,#664046,#a06e30,#1e2fb1,#0a7e04,#a77f89,#49434f,#dad5e5,#403238,#672223,#8298f2,#83798c,#0d0f4b,#afa3b6
